PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIR5AC002|110000771898|HONEYWELL SENSING AND CONTROL|500 NARRAGANSETT PARK DRIVE|PAWTUCKET|RI007|RI|02861-4325|41.862488|-71.344437||
RIR5AC003|110000904996|RAYTHEON COMPANY|1847 WEST MAIN ROAD|PORTSMOUTH|RI005|RI|028711087|41.570831|-71.270828||
RIR5AC004|110000312395|NULCO MANUFACTURING CORP.|30 BEECHER STREET|PAWTUCKET|RI007|RI|02860|41.879166|-71.388885||
RIR5AC005|110032604938|STERIS ISOMEDIX SERVICES|8 INDUSTRIAL DRIVE|COVENTRY|RI003|RI|02816|41.699997|-71.586105||
RIR50A001|110006693765|BB&S TREATEN LUMBER OF NE|403 DEVILS FOOT ROAD|NORTH KINGSTOWN|RI009|RI|02854|41.608322|-71.470825||
RIR50A002|110017693959|JOLLY GARDENER PRODUCTS|35A STILSON ROAD|WYOMING|RI009|RI|02898|41.51416|-71.685547||
RIR50C001|110000312705|BRADFORD SOAP WORKS INC|200 PROVIDENCE ST.|WEST WARWICK|RI003|RI|02893|41.713882|-71.511108||
RIR50C002|110000312420|KIK CUSTOM PRODUCTS, ING.|35 MARTIN STREET|CUMBERLAND|RI007|RI|02864|41.929153|-71.424988||
RIR50C003|110038168096|FUJIFILM ELECTRONIC MATERIALS USA INC|80 CIRCUIT ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.59166|-71.455551||
RIR50C004|110000313143|FUJIFILM ELECTRONIC MATERIALS USA INC.|200 MASSASOIT AVENUE|EAST PROVIDENCE|RI007|RI|02914|41.833328|-71.370819||
RIR50C005|110000772030|FLINT INK CORPORATION|40 ALBION ROAD|LINCOLN|RI007|RI|02865|41.948608|-71.480545||
RIR50C006|110016692408|BERCEN INCORPORATED|1381 CRANSTON STREET|CRANSTON|RI007|RI|02920-6789|41.791656|-71.458328||
RIR50C007|110000602955|UNIVAR USA INC|6 HARBORSIDE BOULEVARD|PROVIDENCE|RI007|RI|02905|41.793884|-71.39444||
RIR50D001||CARDI CORP|400 LINCOLN AVE|WARWICK|RI003|RI|02888|41.745819|-71.44249||
RIR50E001|110000312411|OSRAM SYLVANIA INC|1193 BROAD ST.|CENTRAL FALLS|RI007|RI|02863|41.896103|-71.388611||
RIR50F001|110001662674|FAIRMONT FOUNDRY COMPANY|25 SECOND AVENUE|WOONSOCKET|RI007|RI|02895|41.995819|-71.524994||
RIR50F002|110000581273|NEW ENGLAND UNION COMPANY INCORPORATED|107 HAY STREET|WEST WARWICK|RI003|RI|028930070|41.713882|-71.513885||
RIR50F003|110004924501|CUMBERLAND FOUNDRY COMPANY|310 WEST WRENTHAM ROAD|CUMBERLAND|RI007|RI|02864|42.010269|-71.446381||
RIR50F004|110000905003|GEIB REFINING CORP|399 KILVERT ST.|WARWICK|RI003|RI|028861344|41.729721|-71.450546||
RIR50F005|110000312484|GENERAL CABLE INDUSTRIES LLC|3 CAROL DR.|LINCOLN|RI007|RI|02865|41.921936|-71.477219||
RIR50F006|110004928357|ULTRAFINE POWDER TECH @ HIGHLAND IND PK|500 PARK EAST DR|WOONSOCKET|RI007|RI|02895|41.995819|-71.477768||
RIR50F007|110000871290|HEALY BROTHERS CORPORATION|60 NEW RIVER ROAD|MANVILLE|RI007|RI|02838|41.969162|-71.467499||
RIR50F008|110001664618|AMERICAN INDUSTRIAL CASTING, INC.|ONE AMERICAN WAY|EAST GREENWICH|RI003|RI|02818|41.640274|-71.493042||
RIR50F009|110000312661|ADVANCED CHEMICAL CO INC|105 BELLOWS ST.|WARWICK|RI003|RI|02888|41.763885|-71.401382||
RIR50F010|110000311591|NORTH EAST CABLE|330 TURNER ST.|ATTLEBORO|RI007|MA|02703|41.88472|-71.368042||
RIR50J001|110004921620|LYNCH J H & SONS INC|50 LYNCH PL|CUMBERLAND|RI007|RI|02864|41.930832|-71.41777||
RIR50K001|110000312849|SAFETY-KLEEN SYSTEMS, INC.|167 MILL ST.|CRANSTON|RI007|RI|02905|41.766663|-71.412491||
RIR50K002|110000618644|NORTHLAND ENVIRONMENTAL, LLC|275 ALLENS AVENUE|PROVIDENCE|RI007|RI|02905-5003|41.766663|-71.412491||
RIR50MSGP||||||||0.0|0.0||
RIR50M001|110004919303|TIVERTON AUTO PARTS INC|541 BULGAMARSH RD|TIVERTON|RI005|RI|02878|41.622208|-71.180832||
RIR50M002||NORTH PROVIDENCE AUTO SALVAGE|940 SMITHFIELD ROAD|NORTH PROVIDENCE|RI007|RI|02904-2911|41.871109|-71.475555||
RIR50M003|110004917831|BILL'S AUTO PARTS, INC.|70 MACONDRY ST|CUMBERLAND|RI007|RI|02864|41.904434|-71.39444||
RIR50M004|110004929230|K & R AUTO SALVAGE, INC.|950 SMITHFIELD RD|NORTH PROVIDENCE|RI007|RI|02904|41.870819|-71.474991||
RIR50M005|110004898745|BELLEVILLE AUTO SALVAGE|315 OAK HILL ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.558319|-71.479156||
RIR50M006|110004929230|ADVANCED AUTO RECYCLING, INC.|P.O. BOX  156|CUMBERLAND|RI007|RI|02864|41.929443|-71.381943||
RIR50M007||PRIVILEGE AUTO PARTS|95 PRIVILEGE STREET|WOONSOCKET|RI007|RI|02895|42.014053|-71.51033||
RIR50M008||JACK'S SALVAGE AND AUTO PARTS INC.|625 METACOM AVENUE|BRISTOL|RI001|RI|02809|41.698318|-71.265549||
RIR50M009||SANFORD & SON LTD|533 BULGARMARSH RD|TIVERTON|RI005|RI|02878|41.616104|-71.148605||
RIR50M010||KINGSTOWN AUTO RECYCLING|381 OAK HILL ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.556381|-71.479996||
RIR50M011||MIKE'S AUTO REPAIR|45 ANTHONY ROAD|FOSTER|RI007|RI|02825|41.801941|-71.724716||
RIR50M012|110031292447|WOONSOCKET AUTO SALVAGE|5 MADISON AVE|WOONSOCKET|RI007|RI|02895|41.995683|-71.489282||
RIR50M013|110004934091|HALL'S GARAGE, INC.|56 PLAINFIELD PIKE|NORTH SCITUATE|RI007|RI|02857|41.8196045|-71.6436028||
RIR50M014|110037105717|ARNOLD'S AUTO PARTS|1484 CRANDALL RD.|TIVERTON|RI005|RI|02878|41.5813599|-71.136979||
RIR50N001|110009813069|RED'S AUTO SALVAGE|19 DEXTER STREET|JOHNSTON|RI007|RI|02919|41.845825|-71.486099||
RIR50N002||WASTE MANAGEMNET OF RHODE ISLAND INCORPORATED|1610-1688 PONTIAC AVENUE|CRANSTON|RI007|RI|02920|41.737488|-71.462494||
RIR50N003|110032598320|METALS RECYCLING|55 FIELDS POINT DRIVE|PROVIDENCE|RI007|RI|02905|41.791656|-71.387497||
RIR50N004|110032600978|WARWICK TRANSFER STATION|65 O'KEEFE LANE|WARWICK|RI003|RI|02886|41.758331|-71.4375||
RIR50N005|110009442371|WASTE MANAGEMENT OF NEWPORT|65 HALSEY STREET|NEWPORT|RI005|RI|02840|41.5|-71.313889||
RIR50N006|110009813041|PORTSMOUTH TANSFER STATION|HEDLEY ROAD & WEST MAIN ROAD|PORTSMOUTH|RI005|RI|02871|41.595825|-71.265274||
RIR50O001|110009450478|RHODE ISLAND STATE ENERGY PARTNERS|24 SHUN PIKE|JOHNSTON|RI007|RI|02919|41.799713|-71.558319||
RIR50O002|110000312180|OCEAN STATE POWER|1575 SHERMAN FARM ROAD|HARRISVILLE|RI007|RI|02830|42.008331|-71.677765||
RIR50O003|110000312796|DOMINION ENERGY MANCHESTER STREET STATION|40 POINT STREET|PROVIDENCE|RI007|RI|02903|41.816666|-71.40416||
RIR50P001|110004930941|CONWAYS BUS SERVICE INC|10 NATE WHIPPLE HGY|CUMBERLAND|RI007|RI|02864|41.976379|-71.45694||
RIR50P002|110032601021|UPS-PROVIDENCE HUB|150 PLAN WAY|WARWICK|RI003|RI|02886|41.734436|-71.444717||
RIR50P003|110004919660|NEW ENGLAND MOTOR FREIGHT|400 DIVISION ST|PAWTUCKET|RI007|RI|02860|41.875|-71.370819||
RIR50P004|110013727217|PROVIDENCE MAINTENANCE OF WAY|165 ROYAL LITTLE DRIVE|PROVIDENCE|RI007|RI|02904|41.848602|-71.411102||
RIR50P005|110004920649|FIRST STUDENT|112 GALLWAY ST|WARWICK|RI003|RI|02886|41.709152|-71.417496||
RIR50P006|110004897014|FIRST STUDENT|3 RICOM WAY|PROVIDENCE|RI007|RI|02909|41.808319|-71.445831||
RIR50P007|110015657190|FIRST STUDENT, INC. #1719|40 HIGGINSON AVENUE|CENTRAL FALLS|RI007|RI|02863|41.887497|-71.40416||
RIR50P008|110007827183|BROWNING FERRIS INDUSTRIES INC|14 CANAL ST|NORTH SMITHFIELD|RI007|RI|02896-8439|42.012497|-71.533325||
RIR50P009|110000895096|LEVITON MFG CO INC|745 JEFFERSON BLVD.|WARWICK|RI003|RI|028860000|41.727768|-71.443054||
RIR50P010|110004911711|RI ARMY NATIONAL GUARD ORGANIZATIONAL MAINTENANCE SHOP #1|279 DANIELSON PIKE|NORTH SCITUATE|RI007|RI|02857|41.833054|-71.602768||
RIR50P011|110006693756|COMBINED SUPPORT MAINTENANCE|395 GEORGE WASHINGTON HIGHWAY|SMITHFIELD|RI007|RI|02917|41.926376|-71.49971||
RIR50P012|110004911695|ORGANIZATIONAL MAINTENANCE|45 CROADE ST|WARREN|RI001|RI|02885|41.729156|-71.27916||
RIR50P013|110037142954|OMS|2841 SOUTH COUNTY TRAIL|EAST GREENWICH|RI003|RI|02818|41.619431|-71.491653||
RIR50P014|110004911720|ORGANIZATIONAL MAINT SHOP|541 AIRPORT RD|WARWICK|RI003|RI|02886|41.733047|-71.426376||
RIR50P015|110037119935|PETER PAN BUS LINES - PROVIDENCE TERMINAL|ONE BONANZA WAY|PROVIDENCE|RI007|RI|02904|41.854156|-71.406097||
RIR50P016|110013402727|CON-WAY CENTRAL EXPRESS - XPI|15 SOUTHERN INDUSTRIAL DRIVE|CRANSTON|RI007|RI|02921|41.782486|-71.520828||
RIR50P017|110032601931|FEDEX GROUND HOME DELIVERY|275 WEST NATICK ROAD|WARWICK|RI003|RI|02886|41.727493|-71.479431||
RIR50P018|110004896088|U.S. NAVY NAVAL STATION NEWPORT|1 SIMONPIETRI DRIVE|NEWPORT|RI005|RI|02841|41.522217|-71.308319||
RIR50P019|110004933065|FRITO LAY INC|45 STAMP FARM RD|CRANSTON|RI007|RI|02921|41.786377|-71.516388||
RIR50P020|110032601959|EAST GREENWICH DC|1 CHERRY DRIVE|EAST GREENWICH|RI003|RI|02818|41.658325|-71.462494||
RIR50P021|110032601968|MBTA PAWTUCKET LAYOVER|EXIT 25, INTERSTATE 95 SOUTH|PAWTUCKET|RI007|RI|02861|41.857498|-71.406097||
RIR50P023|110032601977|FEDEX FREIGHT EAST, INC. - PROVIDENCE CUSTOMER CENTER|60 INDUSTRIAL PARK ROAD|CUMBERLAND|RI007|RI|02861|41.955276|-71.396103||
RIR50Q001|110031404736|STANDISH BOAT YARD|1697 MAIN ROAD|TIVERTON|RI005|RI|02878|41.629166|-71.211655||
RIR50Q002|110012218554|NEWPORT YACHTING CENTER|20 COMMERCIAL WHARF|NEWPORT|RI005|RI|02840|41.484711|-71.313889||
RIR50Q003|110004928099|BAY MARINA INC|1800 W SHORE RD|WARWICK|RI003|RI|02889|41.698141|-71.388154||
RIR50Q004|110009442503|NEW ENGLAND BOATWORKS|1 LAGOON ROAD|PORTSMOUTH|RI005|RI|02871|41.59166|-71.280548||
RIR50Q005|110028183356|CONANICUT MARINE ROUNDHOUSE BOAT YARD|110 RACQUET ROAD|JAMESTOWN|RI005|RI|02835|41.487778|-71.362488||
RIR50Q006|110015756314|CONANICUT MARINE SERVICES|1 FERRY WHARF|JAMESTOWN|RI005|RI|02835|41.5198025|-71.3764996||
RIR50Q007|110004915165|POINT JUDITH MARINA LLC|360 GOOSEBERRY RD|WAKEFIELD|RI009|RI|02879|41.388321|-71.51944||
